RequestID,Boro,Yr,M,D,HH,MM,Vol,SegmentID,WktGeom,street,fromSt,toSt,Direction
36643,Staten Island,2023,9,20,9,45,50,159808,POINT (934809.8187338817 166982.50661650137),MEEKER AVENUE,Gulf Avenue,Staten Island Expressway,EB
36643,Staten Island,2023,9,20,10,0,42,159808,POINT (934809.8187338817 166982.50661650137),MEEKER AVENUE,Gulf Avenue,Staten Island Expressway,EB
36643,Staten Island,2023,9,20,10,15,46,159808,POINT (934809.8187338817 166982.50661650137),MEEKER AVENUE,Gulf Avenue,Staten Island Expressway,EB
36643,Staten Island,2023,9,20,10,30,45,159808,POINT (934809.8187338817 166982.50661650137),MEEKER AVENUE,Gulf Avenue,Staten Island Expressway,EB
36643,Staten Island,2023,9,20,10,45,38,159808,POINT (934809.8187338817 166982.50661650137),MEEKER AVENUE,Gulf Avenue,Staten Island Expressway,EB
36643,Staten Island,2023,9,20,11,0,41,159808,POINT (934809.8187338817 166982.50661650137),MEEKER AVENUE,Gulf Avenue,Staten Island Expressway,EB
36643,Staten Island,2023,9,20,11,15,47,159808,POINT (934809.8187338817 166982.50661650137),MEEKER AVENUE,Gulf Avenue,Staten Island Expressway,EB
36643,Staten Island,2023,9,20,11,30,47,159808,POINT (934809.8187338817 166982.50661650137),MEEKER AVENUE,Gulf Avenue,Staten Island Expressway,EB
36643,Staten Island,2023,9,20,11,45,45,159808,POINT (934809.8187338817 166982.50661650137),MEEKER AVENUE,Gulf Avenue,Staten Island Expressway,EB
36643,Staten Island,2023,9,20,12,0,39,159808,POINT (934809.8187338817 166982.50661650137),MEEKER AVENUE,Gulf Avenue,Staten Island Expressway,EB
36643,Staten Island,2023,9,20,12,15,42,159808,POINT (934809.8187338817 166982.50661650137),MEEKER AVENUE,Gulf Avenue,Staten Island Expressway,EB
36643,Staten Island,2023,9,20,12,30,47,159808,POINT (934809.8187338817 166982.50661650137),MEEKER AVENUE,Gulf Avenue,Staten Island Expressway,EB
38203,Staten Island,2025,2,1,0,0,91,155310,POINT (937086.3003772319 145782.71481616),FRESH KILLS BRIDGE,Richmond Avenue,Dead end,SB
38203,Staten Island,2025,2,1,0,15,61,155310,POINT (937086.3003772319 145782.71481616),FRESH KILLS BRIDGE,Richmond Avenue,Dead end,SB
38203,Staten Island,2025,2,1,0,30,58,155310,POINT (937086.3003772319 145782.71481616),FRESH KILLS BRIDGE,Richmond Avenue,Dead end,SB
38203,Staten Island,2025,2,1,0,45,64,155310,POINT (937086.3003772319 145782.71481616),FRESH KILLS BRIDGE,Richmond Avenue,Dead end,SB
38203,Staten Island,2025,2,1,1,0,45,155310,POINT (937086.3003772319 145782.71481616),FRESH KILLS BRIDGE,Richmond Avenue,Dead end,SB
38203,Staten Island,2025,2,1,1,15,25,155310,POINT (937086.3003772319 145782.71481616),FRESH KILLS BRIDGE,Richmond Avenue,Dead end,SB
38203,Staten Island,2025,2,1,1,30,41,155310,POINT (937086.3003772319 145782.71481616),FRESH KILLS BRIDGE,Richmond Avenue,Dead end,SB
38203,Staten Island,2025,2,1,1,45,33,155310,POINT (937086.3003772319 145782.71481616),FRESH KILLS BRIDGE,Richmond Avenue,Dead end,SB
38203,Staten Island,2025,2,1,2,0,29,155310,POINT (937086.3003772319 145782.71481616),FRESH KILLS BRIDGE,Richmond Avenue,Dead end,SB
38203,Staten Island,2025,2,1,2,15,25,155310,POINT (937086.3003772319 145782.71481616),FRESH KILLS BRIDGE,Richmond Avenue,Dead end,SB
38203,Staten Island,2025,2,1,2,30,21,155310,POINT (937086.3003772319 145782.71481616),FRESH KILLS BRIDGE,Richmond Avenue,Dead end,SB
38203,Staten Island,2025,2,1,2,45,20,155310,POINT (937086.3003772319 145782.71481616),FRESH KILLS BRIDGE,Richmond Avenue,Dead end,SB
